system:index, MIN_B8, MIN_B8_5perc,DATE,MIN_B4,MIN_B4_5perc,PATH,ROW,SCENE_ID,.geo
7428,0.19700497388839722,0.2519562963385257,2018-02-26,0.18784523010253906,0.24373238370239472,220.0,105.0,LC08_L1GT_220105_20180226_20180308_01_T2,
7429,0.14358171820640564,0.2040261709469405,2019-01-12,0.1351761370897293,0.20214703796221994,220.0,105.0,LC08_L1GT_220105_20190112_20190131_01_T2,
7430,0.07699685543775558,0.1143531798156232,2019-01-28,0.06258224695920944,0.09970783238437213,220.0,105.0,LC08_L1GT_220105_20190128_20190206_01_T2,
7431,0.05018974095582962,0.0683920614571572,2014-01-05,0.03195967897772789,0.052878771935190465,221.0,106.0,LC08_L1GT_221106_20140105_20170427_01_T2,
7432,0.04780988767743111,0.05367236480462825,2014-01-21,0.033288031816482544,0.03814542024024975,221.0,106.0,LC08_L1GT_221106_20140121_20170426_01_T2,
7433,0.24569366872310638,0.3224032225671136,2014-02-06,0.24419626593589783,0.3260275578034001,221.0,106.0,LC08_L1GT_221106_20140206_20170426_01_T2,
7434,0.04510112106800079,0.05041353537686984,2014-02-22,0.031137924641370773,0.03572836735376445,221.0,106.0,LC08_L1GT_221106_20140222_20170425_01_T2,
7435,0.15116338431835175,0.39296925089295487,2015-01-08,0.15004096925258636,0.40050853005889264,221.0,106.0,LC08_L1GT_221106_20150108_20170415_01_T2,
7436,0.04571664333343506,0.04803781126355961,2015-01-24,0.03133629262447357,0.03286692869710283,221.0,106.0,LC08_L1GT_221106_20150124_20170413_01_T2,
7437,0.29244425892829895,0.40308473812037215,2015-02-09,0.2935786843299866,0.40744733854991166,221.0,106.0,LC08_L1GT_221106_20150209_20170413_01_T2,
7438,0.3474145531654358,0.4709541564754747,2015-02-25,0.34480351209640503,0.4786780351919481,221.0,106.0,LC08_L1GT_221106_20150225_20170412_01_T2,
7439,0.16410145163536072,0.24025646593882055,2016-01-11,0.15876156091690063,0.2324684612108316,221.0,106.0,LC08_L1GT_221106_20160111_20170405_01_T2,
7440,0.09448318183422089,0.3070730573280132,2016-01-27,0.0559832900762558,0.2948364586819546,221.0,106.0,LC08_L1GT_221106_20160127_20170330_01_T2,
7441,0.0470866858959198,0.04901651583571822,2016-02-12,0.03252808004617691,0.033883838791987725,221.0,106.0,LC08_L1GT_221106_20160212_20170330_01_T2,
7442,0.2110815793275833,0.3347883249982933,2016-02-28,0.20240768790245056,0.3369868692805858,221.0,106.0,LC08_L1GT_221106_20160228_20170329_01_T2,
7443,0.059369444847106934,0.08805805497507382,2017-01-13,0.0446452833712101,0.07626470480283025,221.0,106.0,LC08_L1GT_221106_20170113_20170311_01_T2,
7444,0.054958850145339966,0.09191253687891462,2017-01-29,0.03988230228424072,0.0799786797974806,221.0,106.0,LC08_L1GT_221106_20170129_20170214_01_T2,
7445,0.2299634963274002,0.30650840713365723,2017-02-14,0.2270125150680542,0.30660775142480906,221.0,106.0,LC08_L1GT_221106_20170214_20170228_01_T2,
7446,0.15985853970050812,0.25993385239719907,2018-01-16,0.15106117725372314,0.25633038036355227,221.0,106.0,LC08_L1GT_221106_20180116_20180205_01_T2,
7447,0.37815606594085693,0.505735472030053,2018-02-01,0.3839966356754303,0.5135561314818055,221.0,106.0,LC08_L1GT_221106_20180201_20180220_01_T2,
7448,0.05433935299515724,0.0994316699014411,2018-02-17,0.03860606253147125,0.08785728493118737,221.0,106.0,LC08_L1GT_221106_20180217_20180307_01_T2,
7449,0.04307742789387703,0.04487176494866998,2019-01-03,0.02823098562657833,0.029921639089083754,221.0,106.0,LC08_L1GT_221106_20190103_20190130_01_T2,
7450,0.29775428771972656,0.4073176182694304,2019-01-19,0.3008468449115753,0.4149752519986161,221.0,106.0,LC08_L1GT_221106_20190119_20190201_01_T2,
7451,0.05384072661399841,0.06817173235857843,2014-01-05,0.03639606386423111,0.05277660609564728,221.0,107.0,LC08_L1GT_221107_20140105_20170427_01_T2,
