system:index, MIN_B3, MIN_B3_5perc,MIN_B4,MIN_B4_5perc,SCENE_ID,TILE,.geo
5231,4567,7312.499576629974,4190,7473.594227504246,L1C_T27CXV_A013532_20180124T100049,27CXV,
5232,4614,7311.567420814479,4202,7470.869005739676,L1C_T28CDE_A013532_20180124T100049,28CDE,
5233,7187,7325.0,7280,7450.0,L1C_T20DMK_A013534_20180124T131903,20DMK,
5234,6637,6856.473811089197,6654,6938.1590524534695,L1C_T20DNJ_A013534_20180124T131903,20DNJ,
5235,6346,7559.495444606413,6319,7688.069371399949,L1C_T20DNK_A013534_20180124T131903,20DNK,
5236,6346,7112.172464840858,6319,7119.396910235759,L1C_T20DNL_A013534_20180124T131903,20DNL,
5237,7497,7603.450489178774,7561,7691.0825082508245,L1C_T20DPL_A013534_20180124T131903,20DPL,
5238,7562,7801.442594718716,7678,7891.632677523354,L1C_T20DPM_A013534_20180124T131903,20DPM,
5239,6933,7523.644633301857,7009,7547.265557986871,L1C_T20DPN_A013534_20180124T131903,20DPN,
5240,4094,4019.0,,,L1C_T20EMQ_A013534_20180124T131903,20EMQ,
5241,,3977.0,,4398.0,L1C_T20ENQ_A013534_20180124T131903,20ENQ,
5242,3114,5007.186021271977,3113,5262.798947054734,L1C_T20ENR_A013534_20180124T131903,20ENR,
5243,4882,5615.272727272729,5052,5872.287426366038,L1C_T20ENS_A013534_20180124T131903,20ENS,
5244,3358,4177.022832052688,3434,4334.982311952832,L1C_T20EPS_A013534_20180124T131903,20EPS,
5245,6561,7323.078386605784,6558,7368.356487684219,L1C_T21DVH_A013534_20180124T131903,21DVH,
5246,3347,4175.443877551022,3425,4335.268656716418,L1C_T21EUM_A013534_20180124T131903,21EUM,
5247,2756,3472.3271017699117,2801,3602.2584888689007,L1C_T21EVM_A013534_20180124T131903,21EVM,
5248,1586,2896.6793803887185,1492,2958.510726964037,L1C_T21EWM_A013534_20180124T131903,21EWM,
5249,4344,5143.6992672825745,4441,5398.653962754438,L1C_T09CVU_A013536_20180124T164346,09CVU,
5250,3640,4625.66623609616,3672,4816.147697111632,L1C_T09CWU_A013536_20180124T164346,09CWU,
5251,4826,5167.880162797708,4721,5165.825779307707,L1C_T09CWV_A013536_20180124T164346,09CWV,
5252,2055,3440.99900990099,1948,3536.3250856069812,L1C_T09CXV_A013536_20180124T164346,09CXV,
5253,2013,3375.2909430438845,1984,3470.3926365795714,L1C_T10CDD_A013536_20180124T164346,10CDD,
5254,2013,3376.0246319921494,1981,3502.914353687549,L1C_T10CDE_A013536_20180124T164346,10CDE,
5255,2953,4590.940419508429,2883,4848.917606171061,L1C_T10CED_A013536_20180124T164346,10CED,
5256,577,752.7747293921731,331,494.05880605880606,L1C_T11CMU_A013536_20180124T164346,11CMU,
5257,763,1709.6909532483303,501,1584.7355880092236,L1C_T01CDP_A013538_20180124T200526,01CDP,
5258,1505,1644.0398790838274,1312,1455.6584687123948,L1C_T01CDQ_A013538_20180124T200526,01CDQ,
5259,1308,2466.0662302070646,1021,2402.281510164569,L1C_T58CEV_A013538_20180124T200526,58CEV,
5260,694,860.4883885039775,414,542.3083740953497,L1C_T59CMQ_A013538_20180124T200526,59CMQ,
5261,957,2158.1273234200744,716,2080.0649335464,L1C_T59CNQ_A013538_20180124T200526,59CNQ,
